country,date,doing_business,gdppc
Bahrain,1999-01-01,,48988.570176162
Bahrain,1998-01-01,,48717.1820404672
Bahrain,1997-01-01,,47957.0685646187
Bahrain,1996-01-01,,47825.8742542915
Bahrain,1995-01-01,,47157.2167609521
Bahrain,1994-01-01,,46538.7747226765
Bahrain,1993-01-01,,47819.4239458923
Bahrain,1992-01-01,,43430.2713411364
Bahrain,1991-01-01,,41770.6421477913
Bahrain,1990-01-01,,38601.0327316615
Bahrain,1989-01-01,,
Bahrain,1988-01-01,,
Bahrain,1987-01-01,,
Bahrain,1986-01-01,,
Bahrain,1985-01-01,,
Bahrain,1984-01-01,,
Bahrain,1983-01-01,,
Bahrain,1982-01-01,,
Bahrain,1981-01-01,,
Bahrain,1980-01-01,,
Bahrain,1979-01-01,,
Bahrain,1978-01-01,,
Bahrain,1977-01-01,,
Bahrain,1976-01-01,,
Bahrain,1975-01-01,,
Bahrain,1974-01-01,,
Bahrain,1973-01-01,,
Bahrain,1972-01-01,,
Bahrain,1971-01-01,,
Bahrain,1970-01-01,,
Bahrain,1969-01-01,,
Bahrain,1968-01-01,,
Bahrain,1967-01-01,,
Bahrain,1966-01-01,,
Bahrain,1965-01-01,,
Bahrain,1964-01-01,,
Bahrain,1963-01-01,,
Bahrain,1962-01-01,,
Bahrain,1961-01-01,,
Bahrain,1960-01-01,,
"Bahamas, The",2020-01-01,,30764.1159665551
"Bahamas, The",2019-01-01,59.87155,37100.3629626189
"Bahamas, The",2018-01-01,59.38844,37019.9950489508
"Bahamas, The",2017-01-01,58.61968,36298.4480017563
"Bahamas, The",2016-01-01,56.94715,35558.0724972871
"Bahamas, The",2015-01-01,57.10881,35400.6494660106
"Bahamas, The",2014-01-01,,35659.931134214
"Bahamas, The",2013-01-01,,35620.7135644207
"Bahamas, The",2012-01-01,,36961.7485368649
"Bahamas, The",2011-01-01,,36253.6681039906
"Bahamas, The",2010-01-01,,36504.4070465871
"Bahamas, The",2009-01-01,,36500.0676546934
"Bahamas, The",2008-01-01,,38746.783555254
"Bahamas, The",2007-01-01,,40408.3869814188
"Bahamas, The",2006-01-01,,40596.8009226953
"Bahamas, The",2005-01-01,,40353.9751920068
"Bahamas, The",2004-01-01,,39757.6680928499
"Bahamas, The",2003-01-01,,40135.9965450675
"Bahamas, The",2002-01-01,,41372.2370983239
"Bahamas, The",2001-01-01,,40953.4839488565
"Bahamas, The",2000-01-01,,40518.1795069369
"Bahamas, The",1999-01-01,,39430.7738839293
"Bahamas, The",1998-01-01,,35562.8717497012
"Bahamas, The",1997-01-01,,37659.5017015856
"Bahamas, The",1996-01-01,,35656.4852093656
"Bahamas, The",1995-01-01,,34675.6750692435
"Bahamas, The",1994-01-01,,33742.4793984083
"Bahamas, The",1993-01-01,,33289.7315995842
"Bahamas, The",1992-01-01,,33815.9549752855
"Bahamas, The",1991-01-01,,35837.4651884043
"Bahamas, The",1990-01-01,,38099.2538327744
"Bahamas, The",1989-01-01,,
"Bahamas, The",1988-01-01,,
"Bahamas, The",1987-01-01,,
"Bahamas, The",1986-01-01,,
"Bahamas, The",1985-01-01,,
"Bahamas, The",1984-01-01,,
"Bahamas, The",1983-01-01,,
"Bahamas, The",1982-01-01,,
"Bahamas, The",1981-01-01,,
"Bahamas, The",1980-01-01,,
"Bahamas, The",1979-01-01,,
"Bahamas, The",1978-01-01,,
"Bahamas, The",1977-01-01,,
"Bahamas, The",1976-01-01,,
"Bahamas, The",1975-01-01,,
"Bahamas, The",1974-01-01,,
"Bahamas, The",1973-01-01,,
"Bahamas, The",1972-01-01,,
"Bahamas, The",1971-01-01,,
"Bahamas, The",1970-01-01,,
"Bahamas, The",1969-01-01,,
"Bahamas, The",1968-01-01,,
"Bahamas, The",1967-01-01,,
"Bahamas, The",1966-01-01,,
"Bahamas, The",1965-01-01,,
"Bahamas, The",1964-01-01,,
"Bahamas, The",1963-01-01,,
"Bahamas, The",1962-01-01,,
"Bahamas, The",1961-01-01,,
"Bahamas, The",1960-01-01,,
Bermuda,2020-01-01,,
Bermuda,2019-01-01,,81804.2656772398
Bermuda,2018-01-01,,81422.1346003442
Bermuda,2017-01-01,,81834.9558735543
Bermuda,2016-01-01,,78149.352535184
Bermuda,2015-01-01,,77842.7539032209
Bermuda,2014-01-01,,77361.1048812589
Bermuda,2013-01-01,,80503.6502910788
Bermuda,2012-01-01,,80982.367755316
Bermuda,2011-01-01,,85829.3782604391
Bermuda,2010-01-01,,88399.9159492493
Bermuda,2009-01-01,,89961.9827443671
Bermuda,2008-01-01,,95855.800692618
Bermuda,2007-01-01,,98257.9926982026
Bermuda,2006-01-01,,95615.3606970562
Bermuda,2005-01-01,,91114.0769901835
Bermuda,2004-01-01,,90195.8115646944
