Municipality,Year,Ethnic_Vote_Share,Casualty,Log_Casualty,HHI_SB,HHI_CB,HHI_SC,HHI.1991,Pop_Density,Income_PC,Avg_Age,Avg_Age_Sqr,Refugees,Prison_Camps,Claims,CivilianCasualty,Partition,HHI.2013,TimedHHI,Net_Displacement,Gross_Displacement
Srebrenik,2010,46.00522193,0.846048513,-0.167178577,0.655135796,0.690315397,0.108452694,0.580200512,164.9032258,9951.095462,29.50437696,870.5082596,1.432902973,0,2.582159624,0.022007042,0,0.824377355,0.847122707,7.301160894,10.22258467
Srebrenik,2014,59.76266911,0.846048513,-0.167178577,0.655135796,0.690315397,0.108452694,0.580200512,164.9032258,9951.095462,29.50437696,870.5082596,1.432902973,0,2.582159624,0.022007042,0,0.824377355,0.816795571,7.264049636,10.17062403
Tuzla,2006,43.58221858,1.024935799,0.024629976,0.397412904,0.39727772,0.154497852,0.304657732,434.3828383,36661.12538,31.90332249,1017.821986,1.254387698,0.113966175,4.711361668,0.117005273,0,0.557075208,0.572754368,4.156330376,6.519853288
Tuzla,2010,36.78334801,1.024935799,0.024629976,0.397412904,0.39727772,0.154497852,0.304657732,434.3828383,36661.12538,31.90332249,1017.821986,1.254387698,0.113966175,4.711361668,0.117005273,0,0.557075208,0.563794848,4.146737728,6.504805721
Tuzla,2014,51.99892006,1.024935799,0.024629976,0.397412904,0.39727772,0.154497852,0.304657732,434.3828383,36661.12538,31.90332249,1017.821986,1.254387698,0.113966175,4.711361668,0.117005273,0,0.557075208,0.554835328,4.149383898,6.508956652
Mrkonjic Grad,2006,95.22053983,1.770396058,0.571203283,0.681332383,0.103088829,0.704964126,0.61179255,39.99270073,17609.12575,34.30912575,1177.11611,2.084321957,0.146012046,NA,0.551195474,0,0.927494367,NA,3.581574675,12.92613636
Mrkonjic Grad,2010,91.21205204,1.770396058,0.571203283,0.681332383,0.103088829,0.704964126,0.61179255,39.99270073,17609.12575,34.30912575,1177.11611,2.084321957,0.146012046,NA,0.551195474,0,0.927494367,NA,3.706425871,13.37673247
Mrkonjic Grad,2014,93.34498962,1.770396058,0.571203283,0.681332383,0.103088829,0.704964126,0.61179255,39.99270073,17609.12575,34.30912575,1177.11611,2.084321957,0.146012046,NA,0.551195474,0,0.927494367,NA,3.856869708,13.91969407
Kotor Varos,2006,97.61484099,2.756899031,1.014106509,0.345912723,0.295663339,0.341999275,0.320708776,65.80892857,10055.97916,27.81802024,773.8422502,7.614034136,0.244213497,3.948118199,1.088106803,0,0.514940184,0.644532236,-3.687549564,8.931403648
Kotor Varos,2010,97.39958208,2.756899031,1.014106509,0.345912723,0.295663339,0.341999275,0.320708776,65.80892857,10055.97916,27.81802024,773.8422502,7.614034136,0.244213497,3.948118199,1.088106803,0,0.514940184,0.570479635,-3.736440337,9.049819205
Kotor Varos,2014,97.33201581,2.756899031,1.014106509,0.345912723,0.295663339,0.341999275,0.320708776,65.80892857,10055.97916,27.81802024,773.8422502,7.614034136,0.244213497,3.948118199,1.088106803,0,0.514940184,0.496427034,-3.78780165,9.174218511
Teslic,2006,86.64902574,1.171183212,0.15801453,0.456484964,0.190530082,0.462922236,0.378039358,70.74940898,14359.74204,29.48776189,869.5281011,4.283757142,0.116951248,4.166805894,0.245597621,0,0.604308898,0.684042097,0.674369834,7.002755048
Teslic,2010,91.91307638,1.171183212,0.15801453,0.456484964,0.190530082,0.462922236,0.378039358,70.74940898,14359.74204,29.48776189,869.5281011,4.283757142,0.116951248,4.166805894,0.245597621,0,0.604308898,0.638480269,0.681445162,7.07622629
Teslic,2014,93.22413267,1.171183212,0.15801453,0.456484964,0.190530082,0.462922236,0.378039358,70.74940898,14359.74204,29.48776189,869.5281011,4.283757142,0.116951248,4.166805894,0.245597621,0,0.604308898,0.592918441,0.69007595,7.165849656
Zepce,2006,91.66853555,1.476095097,0.389400153,0.406443354,0.436917923,0.336765698,0.389466464,109.3619048,12668.55351,27.69150048,766.8191988,2.399198816,0.087085256,4.628581381,0.304798398,0,0.497887699,0.510938874,-0.656075127,4.791921271
Zepce,2010,77.65254909,1.476095097,0.389400153,0.406443354,0.436917923,0.336765698,0.389466464,109.3619048,12668.55351,27.69150048,766.8191988,2.399198816,0.087085256,4.628581381,0.304798398,0,0.497887699,0.50348106,-0.656877898,4.797784648
Zepce,2014,90.17216643,1.476095097,0.389400153,0.406443354,0.436917923,0.336765698,0.389466464,109.3619048,12668.55351,27.69150048,766.8191988,2.399198816,0.087085256,4.628581381,0.304798398,0,0.497887699,0.496023245,-0.65681445,4.797321228
Zavidovici,2006,76.26232447,1.565670702,0.448314296,0.498034979,0.513783476,0.175595629,0.419517895,96.88813559,18699.98601,28.39782031,806.4361982,2.31789238,0,2.50332377,0.258904205,0,0.830043234,0.929820158,-8.234277635,16.70157616
Zavidovici,2010,52.83029982,1.565670702,0.448314296,0.498034979,0.513783476,0.175595629,0.419517895,96.88813559,18699.98601,28.39782031,806.4361982,2.31789238,0,2.50332377,0.258904205,0,0.830043234,0.872804773,-8.280020009,16.79435537
